289,,,,,289,,,,,289,,,,289,,,,,,,289,,"ไม่สนใจส่วนใหญ่ โควตาหมดไว เลยไม่ค่อยได้ใช้ระบบ หรือออกจาก สปสช. AIติดภาษาถิ่น"""
รายชื่อลูกค้า,,,,,ติดตามสถานะ PresScribe AI,,,,,ติดตามสถานะ iService,,,,สถานะโทรเชิญชวน,,,,,,,สถานะโทรเชิญชวน MED AI,,
ลำดับ,รหัสหน่วยบริการ,ชื่อลูกค้า,  จังหวัด,BD,สถานะ Provider ID,สถานะการใช้งานระบบ AI,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะ BD,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะโทรติดตาม,รหัสหน่วยบริการ,ai,service, ,หมายเหตุ,Service ที่มี,MED AI,วันที่ติดต่อล่าสุด,feedback
52,27180,คลินิกเฉพาะทางด้านเวชกรรมประสาทศัลยศาสตร์นายแพทย์ธนากร,ร้อยเอ็ด,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,27180,ไม่สนใจ AI,ไม่สนใจ iService,17/2/2026,"หมอเเจ้งว่าตอนนี้พี่จ่ายยาคนไข้อยู่ 17.23 น.
27/1/2026  ไม่รับสาย
09/02/26 ไม่รับสาย
17/02/26 ไม่เข้าร่วม สปสช. เก็บเวชระเบียนเฉยๆ คุณหมอเขียนกระดาษ เจ้าหน้าที่นำมาคีย์ข้อมูลเข้าระบบ",,0.ยังไม่ได้ติดต่อ,,
53,42776,คลินิกเวชกรรมแพทย์อนุธิดา,ขอนแก่น,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,42776,ไม่สนใจ AI,ไม่สนใจ iService,27/1/2026,"ไม่รับสาย
27/1/2026 ไม่สนใจ",,0.ยังไม่ได้ติดต่อ,,
54,46249,คลินิกเวชกรรมชุมชนอบอุ่น,ร้อยเอ็ด,จตุพร ผาสุจิต,3.มี Provider ID สำหรับคลินิกเเล้ว,4.ลงทะเบียนใช้งานระบบ AI,19/02/2026," 16/02/26 รอกรอกลงทะเบียนขอ License
19/02/2026 มี Provider ID สาขาเก่า แต่สาขาใหม่ยังไม่มี",,2. นำส่ง User ให้ลูกค้าเเล้ว,26/2/2026,"เปิดระบบ นำส่งให้ลูกค้า
26/2/2026 ติดตามการใช้งาน แต่ยังไม่ได้เริ่มการใช้งานระบบ",ยังไม่มีเวลาทดสอบ,สนใจ AI+iService,46249,สนใจ AI,สนใจ iService,27/1/2026,"ไม่่รับสาย
27/1/2026 ถ้าฟรีก็เอา ลองดูก่อน",มี iservice,0.ยังไม่ได้ติดต่อ,,
55,90049,อีสเทิร์นสยาม คลินิกเวชกรรม,ระยอง,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,90049,รอพิจารณา,รอพิจารณา,09/2/2026,"ให้พี่หนึ่งติดต่อ
27/1/2026 รอทางทีมผู้บริหารอีกที",,0.ยังไม่ได้ติดต่อ,,
56,47880,คลินิกเวชกรรมโคกเคียนการแพทย์,นราธิวาส,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,47880,ติดต่อใหม่,ติดต่อใหม่,26/2/2026,"ไม่รับสาย
27/1/2026 ติดสาย
09/02/26 ไม่รับสาย
17/02/26 ไม่รับสาย
18/02/26 ไม่รับสาย
20/02/26 ไม่รับสาย
24/02/26 ไม่รับสาย 17.20 น.
26/02/26 ฝากหมายเลข 17.09 น.",,0.ยังไม่ได้ติดต่อ,,
57,90055,คลินิกแพทย์อมรรัตน์,พังงา,จตุพร ผาสุจิต,0.ยังไม่มี Provider ID สำหรับคลินิก,4.ลงทะเบียนใช้งานระบบ AI,27/02/2026,"13/02/2026 ติดตามให้หมออมรรัตน์สมัคร Provider ID ในนามคลินิกก่อน
19/02/2026 คลินิกไม่มีเลข 5 หลัก รอติดตามกับทางทีม Provider ID
27/02/26 รอหมอทำเรื่องขอรหัส 5 หลักกับทาง สสจ.",,3. ลูกค้าทดลองใช้,19/2/2026,"รอลูกค้าแจ้งรายละเอียดเพิ่มเติมก่อนที่จะใช้งานระบบ
19/02/26 ใช้งานล่าสุด",,สนใจ AI+iService,90055,สนใจ AI,สนใจ iService,27/1/2026,"เจ้าหน้าที่รับสาย เเจ้งว่า คุณหมอยังไม่เข้ามาเลยค่า 17.17 น.
27/1/2026 ",มี iservice,0.ยังไม่ได้ติดต่อ,,
58,47207,ศิรารักษ์คลินิกเวชกรรม,ปัตตานี,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,47207,ไม่สนใจ AI,ไม่สนใจ iService,15/1/2026,ยังไม่สนใจ แจ้งว่าตอนนี้อยู่ต่างจังหวัดด้วยครับ,มี iservice,0.ยังไม่ได้ติดต่อ,,
59,27282,คลินิกเวชกรรมหมอกิตติศักดิ์,ร้อยเอ็ด,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,27282,ไม่สนใจ AI,ไม่สนใจ iService,15/1/2026,หมอพูดว่า ยังไม่ค้าบ ขอบคุณค้าบ,,0.ยังไม่ได้ติดต่อ,,
60,42740,คลินิกเวชกรรมแพทย์วันเตาเฟ็ก,นราธิวาส,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,42740,ติดต่อใหม่,ติดต่อใหม่,27/1/2026,"หมอแจ้งว่า ติดงานอยู่ค่อยโทรมาใหม่นะครับ 17.02 น.
27/1/2026 ติดเคสอยู่ ติดต่อใหม่",,0.ยังไม่ได้ติดต่อ,,
61,44860,คลินิกเฉพาะทางด้านเวชกรรมสาขาเวชศาสตร์ครอบครัวหมอปวริศ2,สงขลา,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,44860,รอพิจารณา,รอพิจารณา,27/1/2026,"หมอเเจ้งว่า เดี๋ยวให้น้องพนักงานโทรกลับเบอร์นี้
27/1/2026 แจ้งทางผู้จัดการให้ก่อน",,0.ยังไม่ได้ติดต่อ,,
62,45405,คลินิกแพทย์หญิงจิรภาพร แพทย์เฉพาะทางเวชศาสตร์ครอบครัว,ชัยภูมิ,จตุพร ผาสุจิต,-,-,,,,3. ลูกค้าทดลองใช้,12/2/2026,เปิดระบบ นำส่งให้ลูกค้า,แดชบอร์ดสีสันสดใส ใช้ง่าย เข้าใจง่ายค่ะ ข้อมูลรายงานบางอย่างอยากได้รายละเอียดเพิ่มเติม ให้มากขึ้น เช่น ต้นทุนค่ายา กำไรที่ได้,สนใจ iService,45405,ไม่สนใจ AI,สนใจ iService,15/1/2026,สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,22/01/26 แดชบอร์ดสีสันสดใส ใช้ง่าย เข้าใจง่าย ข้อมูลรายงานบางอย่างอยากได้รายละเอียดเพิ่มเติม ให้มากขึ้น เช่น ต้นทุนค่ายา กำไรที่ได้
63,30529,คลินิกเวชกรรม นายแพทย์ถาวร,ระนอง,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,30529,ติดต่อใหม่,ติดต่อใหม่,20/2/2026,"หมอไม่สะดวก พอดีกำลังจะขึ้นเครื่องไปกรุงเทพ
27/1/2026 ติดต่อใหม่
20/02/26 ไม่รับสาย",,0.ยังไม่ได้ติดต่อ,,
64,44505,แสนรักษ์ คลินิก,ปทุมธานี,จตุพร ผาสุจิต,-,-,,,,3. ลูกค้าทดลองใช้,16/2/2026,เปิดระบบ นำส่งให้ลูกค้า,,สนใจ iService,44505,ไม่สนใจ AI,สนใจ iService,15/1/2026,ทางคุณหมอแจ้งว่าสนใจระบบ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,"22/01/26 ติดต่อคุุณทิว แจ้งว่าระบบค่อนข้างโอเค แต่อยากให้หน้า Dashborad สามารถรีพอร์ตเป็น Excel ได้ เช่น 1.ผู้เข้ามารับบริการ รายเก่า,รายใหม่ 2. ข้อมูลรายรับรายจ่าย, 3.รายงานเวชภัณฑ์ยาได้"
65,45191,คลินิกหมอสุณิสา,นราธิวาส,จตุพร ผาสุจิต,3.มี Provider ID สำหรับคลินิกเเล้ว,8.ไม่สนใจ,13/02/2026,13/02/2026 ไม่สนใจแล้ว เนื่องจากไม่ค่อยรับเคสของ สปสช. รับรักษาคนไข้ธรรมดา ไม่ได้ต้องใช้งานอะไรหวือหวา,,-,,,,ไม่สนใจทั้งสองระบบ,45191,ไม่สนใจ AI,ไม่สนใจ iService,15/1/2026,คุณหมอ Feedback เรื่อง แก้ไขราคายาโดยรวม เพราะบางทีจะมีการลดราคาให้ผู้ป่วย ,มี iservice,0.ยังไม่ได้ติดต่อ,,22/01/26 ช่วงนี้ยุ่งมาก ไม่ค่อยมีเวลาใช้งาน ถ้าจะใช้แจ้งอีกที
66,24665,คลินิกเวชกรรมปาลัสการแพทย์,ปัตตานี,จตุพร ผาสุจิต,3.มี Provider ID สำหรับคลินิกเเล้ว,8.ไม่สนใจ,12/02/2026,"11/02/26 ได้รับ License AI
12/2/2026 เนื่องจากไม่ค่อยรับคนไข้ ขอยังไม่ใช้นะครับ",,3. ลูกค้าทดลองใช้,12/2/2026,เปิดระบบ นำส่งให้ลูกค้า,,สนใจ iService,24665,ไม่สนใจ AI,สนใจ iService,15/1/2026,คุณหมอแจ้งว่า สนใจทั้ง 2 ระบบ,มี iservice,0.ยังไม่ได้ติดต่อ,,21/01/26 อยากให้รายงานและ Report ดึงรายงาน 6 เดือนย้อนหลัง
